Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Best Parameters
Logistic Regression,1,0.9685,0.9680,0.9954,0.9577,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9615,0.9611,0.9965,0.9510,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,2,0.9825,0.9814,0.9954,0.9706,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9720,0.9724,0.9949,0.9792,"{'max_depth': None, 'n_estimators': 200}"
Logistic Regression,3,0.9755,0.9759,0.9966,0.9726,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9545,0.9527,0.9932,0.9424,"{'max_depth': None, 'n_estimators': 200}"
Logistic Regression,4,0.9965,0.9961,0.9999,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9685,0.9689,0.9946,0.9655,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,5,0.9755,0.9763,0.9981,0.9730,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9755,0.9758,0.9942,0.9792,"{'max_depth': None, 'n_estimators': 200}"
Logistic Regression,6,0.9930,0.9930,0.9995,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9615,0.9619,0.9965,0.9653,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,7,0.9650,0.9630,0.9975,0.9353,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9615,0.9635,0.9944,0.9667,"{'max_depth': None, 'n_estimators': 200}"
Logistic Regression,8,0.9860,0.9857,0.9972,0.9928,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9545,0.9582,0.9883,0.9739,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,9,0.9755,0.9767,0.9974,0.9545,"{'C': 1, 'max_iter': 10000}"
Random Forest,9,0.9755,0.9753,0.9982,0.9857,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,10,0.9825,0.9825,0.9983,0.9790,"{'C': 10, 'max_iter': 10000}"
Random Forest,10,0.9580,0.9568,0.9949,0.9568,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,11,0.9720,0.9720,0.9962,0.9456,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9860,0.9858,0.9995,0.9929,"{'max_depth': None, 'n_estimators': 200}"
Logistic Regression,12,0.9790,0.9799,0.9951,0.9669,"{'C': 10, 'max_iter': 10000}"
Random Forest,12,0.9790,0.9799,0.9986,0.9865,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,13,0.9615,0.9614,0.9907,0.9580,"{'C': 10, 'max_iter': 10000}"
Random Forest,13,0.9720,0.9722,0.9972,0.9859,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,14,0.9825,0.9829,0.9983,0.9796,"{'C': 10, 'max_iter': 10000}"
Random Forest,14,0.9825,0.9836,0.9966,0.9804,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,15,0.9860,0.9873,0.9947,0.9811,"{'C': 10, 'max_iter': 10000}"
Random Forest,15,0.9755,0.9754,0.9973,0.9858,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,16,0.9790,0.9793,0.9989,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,16,0.9720,0.9720,0.9937,0.9653,"{'max_depth': None, 'n_estimators': 200}"
Logistic Regression,17,0.9755,0.9751,0.9962,0.9648,"{'C': 10, 'max_iter': 10000}"
Random Forest,17,0.9755,0.9740,0.9964,0.9632,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,18,0.9755,0.9764,0.9951,0.9797,"{'C': 10, 'max_iter': 10000}"
Random Forest,18,0.9720,0.9714,0.9980,0.9855,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,19,0.9720,0.9695,0.9959,0.9621,"{'C': 10, 'max_iter': 10000}"
Random Forest,19,0.9685,0.9689,0.9890,0.9722,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,20,0.9615,0.9639,0.9950,0.9608,"{'C': 10, 'max_iter': 10000}"
Random Forest,20,0.9650,0.9627,0.9900,0.9773,"{'max_depth': None, 'n_estimators': 50}"
